Truth,Decoded
Va bene grazie lo stesso,pero lo lo
Salve quanto costa quell articolo,certo lo lo lo e certo
Dovrebbe arrivare tra qualche minuto,lo lo lo lo
Le auguro una buona giornata,lo lo lo
E in offerta costa dieci euro,lo lo lo lo lo e lo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo lo lo bene lo
Si grazie e arrivederci,e lo lo
Tutto bene tu,lo
Piacere Luigi come stai,lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo lo
Va bene grazie lo stesso,lo
Perfetto vorrei comprarne due.,e lo
E in offerta costa dieci euro,lo lo lo
Certo ecco a lei vuole un sacchetto,e e e lo
Salve quanto costa quell articolo,e lo lo
Buonasera io sono Mario,lo lo
